gene	disease
FGFR2	Beare-Stevenson cutis gyrata syndrome
FGFR2	Isolated coronal synostosis
FGFR3	Isolated coronal synostosis
FGFR3	Colorectal cancer
FGFR3	Urinary bladder cancer
FGFR3	Malignant tumor of testis
FGFR3	Thanatophoric dysplasia, type 2
FGFR3	Carcinoma of cervix
FGFR3	Crouzon syndrome with acanthosis nigricans
FGFR3	Hypochondroplasia
FGFR3	Severe achondroplasia with developmental delay and acanthosis nigricans
FGFR3	Levy-Hollister syndrome
FGFR3	Camptodactyly-tall stature-scoliosis-hearing loss syndrome
FGFR3	Epidermal nevus
FGFR3	Achondroplasia
FGFR3	Muenke syndrome
FGFR3	Thanatophoric dysplasia type 1
FGG	Dysfibrinogenemia, congenital
FGG	Afibrinogenemia, congenital
FKBP5	Major depressive disorder
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1
FKRP	Congenital muscular dystrophy-dystroglycanopathy (with or without mental retardation) type B5
FKRP	Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies type A5
FKRP	Limb-girdle muscular dystrophy-dystroglycanopathy, type C5
FLCN	Multiple fibrofolliculomas
FLCN	Colorectal cancer
FLCN	Renal cell carcinoma, nonpapillary
FLCN	Pneumothorax, primary spontaneous
FLCN	Potocki-Lupski syndrome
FLG	Ichthyosis vulgaris
FLG	Dermatitis, atopic, 2
FLNB	Spondylocarpotarsal synostosis syndrome
FLNB	Boomerang dysplasia
FLNB	Atelosteogenesis type III
FLNB	Atelosteogenesis type 1
FLNB	Larsen syndrome, dominant type
FMO3	Trimethylaminuria
FMO3	Trimethylaminuria
FN1	Glomerulopathy with fibronectin deposits 2
FN1	Spondylometaphyseal dysplasia - Sutcliffe type
FOXE1	Bamforth-Lazarus syndrome
FOXE1	Thyroid cancer, nonmedullary, 4
FOXO1	Alveolar rhabdomyosarcoma (disease)
FOXP2	Speech-language disorder 1
FOXP3	Insulin-dependent diabetes mellitus secretory diarrhea syndrome
FSHR	Ovarian dysgenesis 1
FSHR	Ovarian hyperstimulation syndrome
FSHR	Dizygotic twins
FTL	L-ferritin deficiency
FTL	Hereditary hyperferritinemia with congenital cataracts
FTL	Neuroferritinopathy
FTO	Growth retardation, developmental delay, coarse facies, and early death
FTO	Body mass index quantitative trait locus 14
FUS	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia
FUS	Tremor, hereditary essential, 4
FUT1	Bombay phenotype
FUT2	Bombay phenotype
FUT2	Vitamin b12 plasma level quantitative trait locus 1
FXN	Friedreich ataxia 1
FYCO1	Cataract 18
G6PC	Glycogen storage disease due to glucose-6-phosphatase deficiency type IA
G6PD	Chlorpropamide response
G6PD	Glyburide response
G6PD	Glipizide response
G6PD	Pegloticase response
G6PD	Tolbutamide response
G6PD	Glimepiride response
G6PD	Tafenoquine response
G6PD	Susceptibility to malaria
G6PD	Rasburicase response
G6PD	Anemia, nonspherocytic hemolytic, due to G6PD deficiency
GAA	Glycogen storage disease, type II
GABRA1	Epilepsy, juvenile myoclonic 5
GABRA1	Epileptic encephalopathy, early infantile, 19
GABRA2	Alcohol dependence
GABRA2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 78
GABRB1	Epileptic encephalopathy, early infantile, 45
GABRD	Epilepsy, idiopathic generalized 10
GAD1	Cerebral palsy, spastic quadriplegic, 1
GALC	Galactosylceramide beta-galactosidase deficiency
GALNT3	Hyperphosphatemic familial tumoral calcinosis 1
GALT	Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase
GAMT	Deficiency of guanidinoacetate methyltransferase
GATA2	Acute myeloid leukemia
GATA2	Acute myeloid leukemia
GATA2	Lymphedema, primary, with myelodysplasia
GATA2	Dendritic cell, monocyte, B lymphocyte, and natural killer lymphocyte deficiency
GATA2	Myelodysplastic syndrome
GATA3	Hypoparathyroidism-deafness-renal disease syndrome
GATA4	Atrial septal defect 2
GATA4	Tetralogy of Fallot
GATA4	Atrioventricular septal defect 4
GATA4	Testicular anomalies with or without congenital heart disease
GATA4	Ventricular septal defect 1
GBA	Parkinson disease, late-onset
GBA	Subacute neuronopathic Gaucher's disease
GBA	Lewy body dementia
GBA	Gaucher disease type 3C
GBA	Gaucher disease, perinatal lethal
GBA	Acute neuronopathic Gaucher's disease
GBA	Gaucher's disease, type 1
GCDH	Glutaric aciduria, type 1
GCH1	Dystonia 5
GCH1	GTP cyclohydrolase I deficiency
GCK	Diabetes mellitus type 2
GCK	Hyperinsulinism due to glucokinase deficiency
GCK	Permanent neonatal diabetes mellitus
GCK	Maturity-onset diabetes of the young, type 2
GDF2	Telangiectasia, hereditary hemorrhagic, type 5
GDF5	Symphalangism, proximal, 1B
GDF5	Brachydactyly, type a1, c
GDF5	Brachydactyly type C
GDF5	Brachydactyly type A2
GDF5	Osteoarthritis of hip
GDF5	Grebe syndrome
GDF5	Fibular hypoplasia and complex brachydactyly
GDF5	Multiple synostoses syndrome 2
GDF5	Acromesomelic dysplasia, Hunter-Thompson type
GEMIN4	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, CATARACTS, AND RENAL ABNORMALITIES
GFAP	Alexander Disease
GHR	Familial hypercholesterolemia 1
GHR	Laron-type isolated somatotropin defect
GHR	Short stature, idiopathic, autosomal
GHRL	Obesity
GJB2	Mutilating keratoderma
GJB2	Palmoplantar keratoderma-deafness syndrome
GJB2	Deafness, autosomal recessive 1A
GJB2	Deafness, digenic, GJB2/GJB3
GJB2	Deafness, X-linked 2
GJB2	Keratitis-ichthyosis-deafness syndrome, autosomal dominant
GJB2	Hystrix-like ichthyosis with deafness
GJB2	Deafness, autosomal dominant 3a
GJB2	Knuckle pads, deafness AND leukonychia syndrome
GJC2	Leukodystrophy, hypomyelinating, 2
GJC2	Spastic paraplegia 44, autosomal recessive
GJC2	Lymphatic malformation 3
GLA	Fabry disease
GLB1	GM1 gangliosidosis type 3
GLB1	Infantile GM1 gangliosidosis
GLB1	Mucopolysaccharidosis, MPS-IV-B
GLB1	GM1 gangliosidosis type 2
GLCCI1	Glucocorticoid therapy, response to
GLDC	Non-ketotic hyperglycinemia
GLIS3	Diabetes mellitus, neonatal, with congenital hypothyroidism
GNAO1	Early infantile epileptic encephalopathy 17
GNAO1	Neurodevelopmental disorder with involuntary movements
GNB3	Night blindness, congenital stationary, type 1h
GNB3	Essential hypertension
GNE	Sialuria
GNE	GNE myopathy
GNPTAB	Mucolipidosis type II
GNPTAB	Pseudo-Hurler polydystrophy
GNPTG	Mucolipidosis type III gamma
GPHN	Hyperekplexia 1
GPHN	Molybdenum cofactor deficiency, complementation group C
GPX1	Glutathione peroxidase deficiency
GPX4	Spondylometaphyseal dysplasia, Sedaghatian type
GRHPR	Primary hyperoxaluria, type II
GRIN1	Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant
GRIN1	NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL RECESSIVE
GRIN2B	Epileptic encephalopathy, early infantile, 27
GRIN2B	Mental retardation, autosomal dominant 6
GRN	Ceroid lipofuscinosis, neuronal, 11
GRN	Grn-related frontotemporal lobar degeneration with Tdp43 inclusions
GUCY2D	Leber congenital amaurosis 1
GUCY2D	Choroidal dystrophy, central areolar 1
GUCY2D	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE1I
GUCY2D	Cone-rod dystrophy 6
GYPA	BLOOD GROUP, MN
GYPA	Susceptibility to malaria
GYPB	Susceptibility to malaria
GYPB	BLOOD GROUP, Ss
HABP2	Thyroid cancer, nonmedullary, 5
HABP2	Venous thrombosis
HBA1	METHEMOGLOBINEMIA, ALPHA TYPE
HBA1	Heinz body anemia
HBA1	Heinz body anemia
HBA1	ERYTHROCYTOSIS, FAMILIAL, 7
HBA1	Hemoglobin H disease
HBA1	alpha Thalassemia
HBA2	alpha Thalassemia
HBA2	Hemoglobin H disease
HBA2	ERYTHROCYTOSIS, FAMILIAL, 7
HBA2	Heinz body anemia
HBA2	Heinz body anemia
HBB	Heinz body anemia
HBB	Heinz body anemia
HBB	Erythrocytosis 6, familial
HBB	Methemoglobinemia, beta-globin type
HBB	alpha Thalassemia
HBB	beta Thalassemia
HBB	Hb SS disease
HBB	Fetal hemoglobin quantitative trait locus 1
HBB	Beta-thalassemia, dominant inclusion body type
HBB	Susceptibility to malaria
HBG1	Fetal hemoglobin quantitative trait locus 1
HCN1	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 10
HCN1	Epileptic encephalopathy, early infantile, 24
HDC	Tourette Syndrome
HERC2	Mental retardation, autosomal recessive 38
HERC2	Prader-Willi syndrome
HERC2	Skin/hair/eye pigmentation, variation in, 1
HEXA	Tay-Sachs disease
HFE	Variegate porphyria
HFE	Transferrin serum level quantitative trait locus 2
HFE	Microvascular complications of diabetes 7
HFE	Familial porphyria cutanea tarda
HFE	Hemochromatosis type 1
HFE	Alzheimer disease
HGF	Deafness, autosomal recessive 39
HLA-A	Susceptibility to severe cutaneous adverse reaction
HLA-A	Carbamazepine response
HLA-B	Carbamazepine response
HLA-B	Susceptibility to severe cutaneous adverse reaction
HLA-B	Abacavir hypersensitivity
HLA-B	Allopurinol response
HLA-B	Carbamazepine hypersensitivity
HLA-B	Ankylosing spondylitis
HLA-C	Psoriasis susceptibility 1
HLA-C	Human immunodeficiency virus type 1, susceptibility to
HLA-DQB1	Multiple sclerosis susceptibility
HLA-DQB1	Jakob-Creutzfeldt disease
HLA-DRB1	Multiple sclerosis susceptibility
HLA-DRB1	Sarcoidosis 1
HLA-G	Asthma, susceptibility to
HMBS	Acute intermittent porphyria
HMGA2	Silver-Russell syndrome 5
HMOX1	Heme oxygenase 1 deficiency
HMOX1	Chronic obstructive pulmonary disease
HNF1A	Diabetes mellitus, insulin-dependent, 20
HNF1A	Maturity-onset diabetes of the young, type 3
HNF1A	Diabetes mellitus type 2
HNF1A	Renal cell carcinoma, nonpapillary
HNF1A	Diabetes mellitus type 1
HNF1A	Hepatic adenomas, familial
HNF1B	Renal cell carcinoma, nonpapillary
HNF1B	Familial hypoplastic, glomerulocystic kidney
HNF1B	Diabetes mellitus type 2
HNMT	Mental retardation, autosomal recessive 51
HNMT	Asthma, susceptibility to
HOGA1	Primary hyperoxaluria, type III
HOXB13	Prostate cancer, hereditary, 9
HP	Anhaptoglobinemia
HPCA	Torsion dystonia 2
HPD	Hawkinsinuria
HPD	Tyrosinemia type 3
HPS5	Hermansky-Pudlak syndrome 5
HRAS	Epidermal nevus
HRAS	Follicular thyroid carcinoma
HRAS	Costello syndrome
HRAS	Epidermal nevus syndrome
HRAS	Large congenital melanocytic nevus
HRAS	Urinary bladder cancer
HSD17B4	Bifunctional peroxisomal enzyme deficiency
HSD17B4	Perrault syndrome 1
HSD3B2	3 beta-Hydroxysteroid dehydrogenase deficiency
HSPG2	Lethal Kniest-like syndrome
HSPG2	Schwartz-Jampel syndrome
HTR2A	Schizophrenia
HTR2A	Major depressive disorder
HTR2A	Anorexia nervosa 1
HTR2A	Obsessive-compulsive disorder
HTR2A	Alcohol dependence
HTRA1	Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2
HTRA1	CARASIL
HTRA1	CARASIL
HTRA1	CARASIL
HTRA1	Age-related macular degeneration 7
HTT	Lopes-Maciel-Rodan syndrome
HTT	Huntington disease
IDH1	Glioma susceptibility 1
IDS	Mucopolysaccharidosis, MPS-II
IFIH1	Singleton-Merten syndrome 1
IFIH1	Aicardi-Goutieres syndrome 7
IFITM3	Influenza
IFITM5	Osteogenesis imperfecta type 5
IFNL3	Peginterferon alfa-2b response
IFNL3	Telaprevir response
IFNL3	Simeprevir response
IFNL3	Ribavirin response
IFNL3	Peginterferon alfa-2a response
IFNL3	Hepatitis c virus, susceptibility to
IFNL4	Sofosbuvir response
IGF1	Growth delay due to insulin-like growth factor type 1 deficiency
IGF1R	Growth delay due to insulin-like growth factor I resistance
IGF2BP2	Diabetes mellitus type 2
IKZF1	Immunodeficiency, common variable, 13
IL10	Graft-versus-host disease, susceptibility to
IL10	Human immunodeficiency virus type 1, susceptibility to
IL10	Rheumatoid arthritis
IL12B	Immunodeficiency 29
IL13	Asthma, susceptibility to
IL13	Allergic rhinitis
IL1B	Hereditary diffuse gastric cancer
IL1RN	Hereditary diffuse gastric cancer
IL1RN	Osteomyelitis, sterile multifocal, with periostitis and pustulosis
IL1RN	Microvascular complications of diabetes 4
IL21	Common variable immunodeficiency 11
IL23R	Inflammatory bowel disease 17
IL23R	Psoriasis susceptibility 7
IL2RA	Interleukin 2 receptor, alpha, deficiency of
IL2RA	Diabetes mellitus, insulin-dependent, 10
IL2RB	IMMUNODEFICIENCY 63 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY
IL6	Cerebral arteriovenous malformation
IL6	Inflammatory bowel disease 1
IL6	Kaposi sarcoma, susceptibility to
IL6	Rheumatoid arthritis, systemic juvenile
IL6	Diabetes mellitus type 1
IL6R	HYPER-IgE RECURRENT INFECTION SYNDROME 5, AUTOSOMAL RECESSIVE
IL6R	Interleukin 6, serum level of, quantitative trait locus
IL6R	Soluble interleukin-6 receptor, serum level of, quantitative trait locus
IMPDH1	Retinitis pigmentosa 10
IMPDH1	Leber congenital amaurosis 11
INSR	Leprechaunism syndrome
INSR	Pineal hyperplasia AND diabetes mellitus syndrome
INSR	Hyperinsulinemic hypoglycemia familial 5
INSR	Insulin-resistant diabetes mellitus AND acanthosis nigricans
IRAK3	Asthma-related traits, susceptibility to, 5
IRF1	Lung cancer
IRF1	Neoplasm of stomach
IRF5	Systemic lupus erythematosus 10
IRF5	Inflammatory bowel disease 14
IRF7	Immunodeficiency 39
IRF8	Immunodeficiency 32b
IRF8	Immunodeficiency 32a
IRS1	Diabetes mellitus type 2
IRS2	Diabetes mellitus type 2
ITGA2B	Platelet-type bleeding disorder 16
ITGA2B	Glanzmann thrombasthenia
ITGB3	Glanzmann thrombasthenia
ITGB3	Myocardial infarction 1
ITGB3	Platelet-type bleeding disorder 16
ITPA	Epileptic encephalopathy, early infantile, 35
ITPA	Inosine triphosphatase deficiency
ITPR3	Diabetes mellitus type 1
JAK1	AUTOINFLAMMATION, IMMUNE DYSREGULATION, AND EOSINOPHILIA
JAK2	Thrombocythemia 3
JAK2	Budd-Chiari syndrome
JAK2	Myelofibrosis
JAK2	Acute myeloid leukemia
JAK2	Acute myeloid leukemia
JAK2	Polycythemia vera
JAK2	Primary familial polycythemia due to EPO receptor mutation
JUP	Arrhythmogenic right ventricular cardiomyopathy, type 12
JUP	Naxos disease
KCNA5	Atrial fibrillation, familial, 7
KCNB1	Epileptic encephalopathy, early infantile, 26
KCNE1	Long QT syndrome 5
KCNE1	Jervell and Lange-Nielsen syndrome 2
KCNH2	Short QT syndrome 1
KCNH2	Long QT syndrome 2
KCNJ1	Bartter syndrome, type 2, antenatal
KCNJ11	Diabetes mellitus type 2
KCNJ11	DIABETES MELLITUS, PERMANENT NEONATAL 2
KCNJ11	Islet cell hyperplasia
KCNJ11	Transient neonatal diabetes mellitus 3
KCNJ11	Maturity-onset diabetes of the young, type 13
KCNJ11	Permanent neonatal diabetes mellitus
KCNMA1	LIANG-WANG SYNDROME
KCNMA1	Paroxysmal nonkinesigenic dyskinesia, 3, with or without generalized epilepsy
KCNMA1	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 16
KCNMA1	CEREBELLAR ATROPHY, DEVELOPMENTAL DELAY, AND SEIZURES
KCNQ1	Atrial fibrillation, familial, 3
KCNQ1	Beckwith-Wiedemann syndrome
KCNQ1	Long QT syndrome 1
KCNQ1	Long QT syndrome 1
KCNQ1	Jervell and Lange-Nielsen syndrome 1
KCNQ1	Short QT syndrome 2
KCNQ4	Autosomal dominant nonsyndromic deafness 2A
KDM5D	Spermatogenic failure, Y-linked 2
KDR	Hemangioma, capillary infantile
KEL	Kell blood group system
KIF1A	Hereditary sensory and autonomic neuropathy type IIA
KIF1A	Hereditary sensory and autonomic neuropathy type IIC
KIF1A	Intellectual disability, autosomal dominant 9
KIF1A	Intellectual disability, autosomal dominant 9
KIF1A	Spastic paraplegia 30, autosomal recessive
KIF1B	Charcot-Marie-Tooth disease, type 2A1
KIF1B	Pheochromocytoma
KIF1B	Neuroblastoma
KIF5A	Hereditary spastic paraplegia 10
KIF5A	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 25
KIF5A	Myoclonus, intractable, neonatal
KIT	Gastrointestinal stromal tumor
KIT	Gastrointestinal stromal tumor
KIT	Partial albinism
KIT	Mastocytosis
KIT	Acute myeloid leukemia
KIT	Acute myeloid leukemia
KIT	Malignant tumor of testis
KITLG	Skin/hair/eye pigmentation, variation in, 7
KITLG	Familial progressive hyperpigmentation with or without hypopigmentation
KITLG	Deafness, autosomal dominant 69
KL	Hyperphosphatemic familial tumoral calcinosis 3
KLF6	Malignant tumor of prostate
KLF6	Neoplasm of stomach
KRAS	Urinary bladder cancer
KRAS	Familial cancer of breast
KRAS	Epidermal nevus syndrome
KRAS	Hereditary diffuse gastric cancer
KRAS	RAS-associated autoimmune leukoproliferative disorder
KRAS	Cerebral arteriovenous malformation
KRAS	Cardiofaciocutaneous syndrome 2
KRAS	Carcinoma of pancreas
KRAS	Toriello-Lacassie-Droste syndrome
KRAS	Lung cancer
KRAS	Acute myeloid leukemia
KRAS	Acute myeloid leukemia
KRAS	Noonan syndrome 3
KRIT1	Cerebral cavernous malformations 1
KRIT1	Cerebral cavernous malformation
KRT14	Epidermolysis bullosa simplex Dowling-Meara type
KRT14	Epidermolysis bullosa simplex, Koebner type
KRT14	Dermatopathia pigmentosa reticularis
KRT14	Naegeli-Franceschetti-Jadassohn syndrome
KRT14	Localized epidermolysis bullosa simplex
KRT14	Epidermolysis bullosa simplex, autosomal recessive
KRT5	Epidermolysis bullosa simplex, Koebner type
KRT5	Epidermolysis bullosa simplex Dowling-Meara type
KRT5	Epidermolysis bullosa simplex with mottled pigmentation
KRT5	Localized epidermolysis bullosa simplex
KRT5	Epidermolysis bullosa simplex, autosomal recessive
KRT5	Dowling-Degos disease 1
KRT5	Epidermolysis bullosa simplex with migratory circinate erythema
LACC1	Juvenile arthritis due to defect in LACC1
LAMA2	MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 23
LAMA2	Merosin deficient congenital muscular dystrophy
LAMB3	Amelogenesis imperfecta, type IA
LAMB3	Junctional epidermolysis bullosa gravis of Herlitz
LAMB3	Junctional epidermolysis bullosa, non-Herlitz type
LAMC2	Junctional epidermolysis bullosa, non-Herlitz type
LAMC2	Junctional epidermolysis bullosa gravis of Herlitz
LARS2	Perrault syndrome 4
LARS2	Hydrops, lactic acidosis, and sideroblastic anemia
LDB3	Dilated cardiomyopathy 1C
LDB3	Primary dilated cardiomyopathy
LDB3	Myofibrillar myopathy, ZASP-related
LDLR	Familial hypercholesterolemia 1
LDLRAP1	Familial hypercholesterolemia 4
LEP	Leptin deficiency or dysfunction
LEPR	Leptin receptor deficiency
LHCGR	Gonadotropin-independent familial sexual precocity
LHCGR	Leydig cell hypoplasia, type 1
LIG4	Multiple myeloma
LIG4	Lig4 syndrome
LIPC	Hepatic lipase deficiency
LIPC	Diabetes mellitus type 2
LIPC	High density lipoprotein cholesterol level quantitative trait locus 12
LIPT1	Lipoyltransferase 1 deficiency
LMNA	Primary dilated cardiomyopathy
LMNA	Hutchinson-Gilford syndrome
LMNA	Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
LMNA	Dilated cardiomyopathy 1A
LMNA	Lethal tight skin contracture syndrome
LMNA	Familial partial lipodystrophy 2
LMNA	Mandibuloacral dysplasia with type A lipodystrophy
LMNA	Charcot-Marie-Tooth disease type 2B1
LMNA	Heart-hand syndrome, Slovenian type
LMNA	Emery-Dreifuss muscular dystrophy 2, autosomal dominant
LMNA	Congenital muscular dystrophy, LMNA-related
LMNA	Emery-Dreifuss muscular dystrophy 3, autosomal recessive
LOXHD1	Deafness, autosomal recessive 77
LOXL1	Pseudoexfoliation glaucoma
LPA	LIPOPROTEIN(a) QUANTITATIVE TRAIT LOCUS
LPL	Hyperlipoproteinemia, type I
LPL	Hyperapobetalipoproteinemia
LPP	Acute myeloid leukemia
LPP	Acute myeloid leukemia
LRP1	Keratosis pilaris
LRP4	Sclerosteosis 2
LRP4	Myasthenic syndrome, congenital, 17
LRP4	Cenani-Lenz syndactyly syndrome
LRP5	Worth disease
LRP5	Bone mineral density quantitative trait locus 1
LRP5	Postmenopausal osteoporosis
LRP5	Van Buchem disease type 2
LRP5	Exudative vitreoretinopathy 1
LRP5	POLYCYSTIC LIVER DISEASE 4 WITH OR WITHOUT KIDNEY CYSTS
LRP5	Exudative vitreoretinopathy 4
LRP5	Osteoporosis with pseudoglioma
LRP5	Autosomal dominant osteopetrosis 1
LRPPRC	Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type
LRRK2	Parkinson disease 8, autosomal dominant
LTA	Myocardial infarction 1
LTA	Leprosy 4
LTA	Psoriatic arthritis, susceptibility to
LZTS1	Malignant tumor of esophagus
MAD1L1	Malignant tumor of prostate
MAGEL2	Prader-Willi syndrome
MAGEL2	Schaaf-Yang syndrome
MAGI2	Nephrotic syndrome type 15
MAOA	Brunner syndrome
MAP2K1	Noonan syndrome 1
MAP2K1	Cardiofaciocutaneous syndrome 3
MAP2K1	Melorheostosis
MAP2K1	Noonan syndrome
MAP2K2	Cardiofaciocutaneous syndrome 4
MAP3K1	46,XY sex reversal, type 6
MAPT	Parkinson disease, late-onset
MAPT	Parkinson-dementia syndrome
MAPT	Progressive supranuclear ophthalmoplegia
MAPT	Pick's disease
MAPT	Frontotemporal dementia
MAT1A	Hepatic methionine adenosyltransferase deficiency
MAX	Hereditary Paraganglioma-Pheochromocytoma Syndromes
MAX	Pheochromocytoma
MBL2	Mannose-binding protein deficiency
MC1R	Increased analgesia from kappa-opioid receptor agonist, female-specific
MC1R	Cutaneous malignant melanoma 5
MC1R	Skin/hair/eye pigmentation, variation in, 2
MC1R	Tyrosinase-positive oculocutaneous albinism
MC2R	ACTH resistance
MC4R	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20
MCM6	Nonpersistence of intestinal lactase
MCM8	Premature ovarian failure 10
MCOLN1	Mucolipidosis type IV
MDM2	Accelerated tumor formation, susceptibility to
MDM2	LESSEL-KUBISCH SYNDROME
MDM4	BONE MARROW FAILURE SYNDROME 6
MECP2	Autism, susceptibility to, X-linked 3
MECP2	Rett syndrome
MECP2	Syndromic X-linked intellectual disability Lubs type
MECP2	Severe neonatal-onset encephalopathy with microcephaly
MECP2	Mental retardation, X-linked, syndromic 13
MECR	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities
MEFV	Familial Mediterranean fever
MEFV	Familial mediterranean fever, autosomal dominant
MEFV	Acute febrile neutrophilic dermatosis
MEN1	Multiple endocrine neoplasia, type 1
MET	Osteofibrous dysplasia
MET	Renal cell carcinoma, papillary, 1
MET	Hepatocellular carcinoma
MET	Deafness, autosomal recessive 97
MFN2	Charcot-Marie-Tooth disease, axonal, autosomal recessive, type 2A2B
MFN2	Charcot-Marie-Tooth disease, type 2A2A
MFN2	Hereditary motor and sensory neuropathy with optic atrophy
MIR96	Deafness, autosomal dominant 50
MLH1	Turcot syndrome
MLH1	Lynch syndrome II
MLH1	Muir-Torré syndrome
MLLT10	Acute myeloid leukemia
MLLT10	Acute myeloid leukemia
MMAB	Vitamin B12-responsive methylmalonic acidemia type cblB
MMACHC	Methylmalonic acidemia with homocystinuria
MME	Charcot-Marie-Tooth disease, type 2
MME	Charcot-Marie-Tooth disease, axonal, type 2T
MME	Spinocerebellar ataxia 43
MMP1	Recessive dystrophic epidermolysis bullosa
MMP1	Chronic obstructive pulmonary disease
MMP2	Multicentric osteolysis, nodulosis and arthropathy
MMP3	Coronary heart disease 6
MMP9	Metaphyseal anadysplasia 2
MPL	Thrombocytosis, benign familial microcytic
MPL	Myelofibrosis
MPL	Congenital amegakaryocytic thrombocytopenia
MPO	Alzheimer disease
MPO	Myeloperoxidase deficiency
MPZ	Congenital hypomyelinating neuropathy 2
MPZ	Charcot-Marie-Tooth disease type 2J
MPZ	Charcot-Marie-Tooth disease type 2I
MPZ	Charcot-Marie-Tooth disease, demyelinating, type 1b
MPZ	Roussy-Lévy syndrome
MPZ	Dejerine-Sottas disease
MPZ	Charcot-Marie-Tooth disease dominant intermediate d
MSH2	Muir-Torré syndrome
MSH2	Lynch syndrome I
MSH2	Turcot syndrome
MSH3	Endometrial carcinoma
MSH3	Familial adenomatous polyposis 4
MSH5	Premature ovarian failure 13
MSH6	Turcot syndrome
MSH6	Hereditary nonpolyposis colorectal cancer type 5
MSH6	Endometrial carcinoma
MSMB	Prostate cancer, hereditary, 13
MT-ATP6	NARP syndrome
MT-ATP6	Mitochondrial DNA-Associated Leigh Syndrome and NARP
MT-ATP6	Leber's optic atrophy
MT-CO1	Hereditary hearing loss and deafness
MT-CO1	Deafness, nonsyndromic sensorineural, mitochondrial
MT-CO1	Juvenile myopathy, encephalopathy, lactic acidosis AND stroke
MT-CO3	Juvenile myopathy, encephalopathy, lactic acidosis AND stroke
MT-CO3	Mitochondrial DNA-Associated Leigh Syndrome and NARP
MT-CO3	Leber's optic atrophy
MT-ND1	Juvenile myopathy, encephalopathy, lactic acidosis AND stroke
MT-ND1	Leber's optic atrophy
MT-ND1	Mitochondrial DNA-Associated Leigh Syndrome and NARP
MT-ND1	Mitochondrial diseases
MT-ND4	Mitochondrial DNA-Associated Leigh Syndrome and NARP
MT-ND4	Leber's optic atrophy
MT-ND4	Mitochondrial diseases
MT-ND5	Leber's optic atrophy
MT-ND5	Mitochondrial DNA-Associated Leigh Syndrome and NARP
MT-ND5	Mitochondrial diseases
MT-ND5	Juvenile myopathy, encephalopathy, lactic acidosis AND stroke
MTHFD1	COMBINED IMMUNODEFICIENCY AND MEGALOBLASTIC ANEMIA WITH OR WITHOUT HYPERHOMOCYSTEINEMIA
MTHFD1	Neural tube defects, folate-sensitive
MTHFR	Neural tube defects, folate-sensitive
MTHFR	Schizophrenia
MTHFR	Venous thrombosis
MTHFR	Homocystinuria due to methylene tetrahydrofolate reductase deficiency
MTHFS	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, EPILEPSY, AND HYPOMYELINATION
MTNR1B	Diabetes mellitus type 2
MTR	Neural tube defects, folate-sensitive
MTR	Methylcobalamin deficiency type cblG
MTRR	Neural tube defects, folate-sensitive
MTRR	Homocystinuria-Megaloblastic anemia due to defect in cobalamin metabolism, cblE complementation type
MTTP	Abetalipoproteinaemia
MTTP	Metabolic syndrome X
MUC1	Medullary cystic kidney disease 1
MUC5B	Idiopathic fibrosing alveolitis, chronic form
MUTYH	Neoplasm of stomach
MUTYH	MYH-associated polyposis
MVK	Mevalonic aciduria
MVK	Hyperimmunoglobulin D with periodic fever
MVK	Porokeratosis 3, disseminated superficial actinic type
MYBPC3	Left ventricular noncompaction 10
MYBPC3	Primary dilated cardiomyopathy
MYBPC3	Familial hypertrophic cardiomyopathy 4
MYH14	Peripheral neuropathy, myopathy, hoarseness, and hearing loss
MYH14	Deafness, autosomal dominant 4
MYH6	Primary dilated cardiomyopathy
MYH6	Dilated cardiomyopathy 1EE
MYH6	Atrial septal defect 3
MYH6	Familial hypertrophic cardiomyopathy 1
MYH6	Familial hypertrophic cardiomyopathy 14
MYH6	Sick sinus syndrome 3, susceptibility to
MYH7	Congenital myopathy with fiber type disproportion
MYH7	Familial hypertrophic cardiomyopathy 1
MYH7	Myopathy, myosin storage, autosomal recessive
MYH7	Myopathy, distal, 1
MYH7	Myosin storage myopathy
