gene	disease
DSG1	Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige
DSG2	Dilated cardiomyopathy 1BB
DSG2	Arrhythmogenic right ventricular cardiomyopathy, type 10
DSG2	Primary dilated cardiomyopathy
DSG4	Hypotrichosis 6
DSP	Lethal acantholytic epidermolysis bullosa
DSP	Arrhythmogenic right ventricular cardiomyopathy, type 8
DSP	Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis
DSP	Skin fragility-woolly hair-palmoplantar keratoderma syndrome
DSP	Keratosis palmoplantaris striata II
DSP	Dilated cardiomyopathy with woolly hair and keratoderma
DSPP	Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1
DSPP	Denticles
DSPP	Dentinogenesis imperfecta - Shield's type II
DSPP	Dentinogenesis imperfecta - Shield's type III
DST	Epidermolysis bullosa simplex, autosomal recessive 2
DST	Neuropathy, hereditary sensory and autonomic, type VI
DSTYK	Hereditary spastic paraplegia 23
DSTYK	Congenital anomalies of kidney and urinary tract 1, susceptibility to
DTNA	Left ventricular noncompaction 1
DTNBP1	Hermansky-Pudlak syndrome 7
DUOX2	Thyroid dyshormonogenesis 6
DUOXA2	Thyroglobulin synthesis defect
DUSP6	Hypogonadotropic hypogonadism 7 with or without anosmia
DUSP6	Hypogonadotropic hypogonadism 19 with or without anosmia
DVL1	Robinow syndrome, autosomal dominant 1
DVL1	Robinow syndrome, autosomal dominant 2
DVL3	Robinow syndrome, autosomal dominant 3
DVL3	Robinow syndrome, autosomal dominant 3
DYM	Smith-McCort dysplasia 1
DYM	Dyggve-Melchior-Clausen syndrome
DYNC1H1	Spinal muscular atrophy, lower extremity predominant 1, autosomal dominant
DYNC1H1	Charcot-Marie-Tooth disease, axonal, type 2O
DYNC1H1	Mental retardation, autosomal dominant 13
DYNC1I2	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES
DYNC2H1	Short-rib thoracic dysplasia 3 with or without polydactyly
DYNC2I1	Short-rib thoracic dysplasia 8 with or without polydactyly
DYNC2I2	Short-rib thoracic dysplasia 11 with or without polydactyly
DYNC2LI1	Short-rib thoracic dysplasia 15 with polydactyly
DYNLT2B	Short-rib thoracic dysplasia 17 with or without polydactyly
DYRK1A	Mental retardation, autosomal dominant 7
DYRK1B	Abdominal obesity-metabolic syndrome 3
DYSF	Autosomal recessive limb-girdle muscular dystrophy type 2B
DYSF	Myopathy, distal, with anterior tibial onset
DYSF	Miyoshi muscular dystrophy 1
DYSF	Limb-girdle muscular dystrophy
DYSF	Limb-girdle muscular dystrophy
DZIP1L	POLYCYSTIC KIDNEY DISEASE 5
EARS2	Combined oxidative phosphorylation deficiency 12
EBF3	Hypotonia, ataxia, and delayed development syndrome
EBP	Chondrodysplasia punctata 2 X-linked dominant
EBP	MEND syndrome
ECE1	Essential hypertension
ECE1	Hirschsprung disease, cardiac defects, and autonomic dysfunction
ECEL1	Distal arthrogryposis type 5D
ECHS1	Mitochondrial short-chain enoyl-coa hydratase 1 deficiency
ECM1	Lipid proteinosis
EDA	Hypohidrotic X-linked ectodermal dysplasia
EDA	Tooth agenesis, selective, X-linked, 1
EDAR	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome
EDAR	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant
EDAR	Hair morphology 1
EDARADD	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant
EDARADD	Ectodermal dysplasia 11b, hypohidrotic/hair/tooth type, autosomal recessive
EDARADD	Autosomal recessive hypohidrotic ectodermal dysplasia syndrome
EDARADD	Ectodermal dysplasia 11a, hypohidrotic/hair/tooth type, autosomal dominant
EDC3	Mental retardation, autosomal recessive 50
EDN1	Auriculocondylar syndrome 3
EDN1	Question mark ears, isolated
EDN3	Hirschsprung disease 4
EDN3	Congenital central hypoventilation
EDN3	Waardenburg syndrome type 4B
EDNRA	Migraine
EDNRA	Mandibulofacial dysostosis with alopecia
EDNRB	Waardenburg syndrome type 4A
EDNRB	Hirschsprung disease 2
EDNRB	ABCD syndrome
EED	Cohen-Gibson syndrome
EEF1A2	Mental retardation, autosomal dominant 38
EEF1A2	Epileptic encephalopathy, early infantile, 33
EEF1AKNMT	Deafness, autosomal recessive 26, modifier of
EEF2	Spinocerebellar ataxia type 26
EFEMP1	Doyne honeycomb retinal dystrophy
EFEMP2	Autosomal recessive cutis laxa type 1B
EFHC1	Juvenile myoclonic epilepsy
EFHC1	Epilepsy, juvenile absence, susceptibility to, 1
EFL1	SHWACHMAN-DIAMOND SYNDROME 2
EFNB1	Craniofrontonasal syndrome
EFTUD2	Mandibulofacial dysostosis-microcephaly syndrome
EGF	Hypomagnesemia 4, renal
EGFR	Inflammatory skin and bowel disease, neonatal, 2
EGFR	Lung cancer
EGLN1	Erythrocytosis, familial, 3
EGLN1	Hemoglobin, high altitude adaptation
EGR2	Congenital hypomyelinating neuropathy 1, autosomal recessive
EGR2	Dejerine-Sottas disease
EGR2	Charcot-Marie-Tooth disease, demyelinating, type 1d
EHBP1	Prostate cancer, hereditary, 12
EHHADH	Fanconi renotubular syndrome 3
EHMT1	Kleefstra syndrome 1
EIF2AK1	LEUKOENCEPHALOPATHY, MOTOR DELAY, SPASTICITY, AND DYSARTHRIA SYNDROME
EIF2AK2	LEUKOENCEPHALOPATHY, DEVELOPMENTAL DELAY, AND EPISODIC NEUROLOGIC REGRESSION SYNDROME
EIF2AK3	Wolcott-Rallison dysplasia
EIF2AK4	Pulmonary venoocclusive disease 2, autosomal recessive
EIF2B1	Leukoencephalopathy with vanishing white matter
EIF2B2	Leukoencephalopathy with vanishing white matter
EIF2B3	Leukoencephalopathy with vanishing white matter
EIF2B4	Leukoencephalopathy with vanishing white matter
EIF2B5	Leukoencephalopathy with vanishing white matter
EIF2S3	MEHMO syndrome
EIF3F	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67
EIF4A3	Richieri Costa-Pereira syndrome
EIF4E	Autism, susceptibility to, 19
EIF4G1	Parkinson disease 18
ELAC2	Prostate cancer, hereditary, 2
ELAC2	Combined oxidative phosphorylation deficiency 17
ELANE	Neutropenia, severe congenital 1, autosomal dominant
ELANE	Cyclical neutropenia
ELMO2	Vascular malformation, primary intraosseous
ELMOD3	Deafness, autosomal recessive 88
ELN	Williams syndrome
ELN	Cutis laxa, autosomal dominant 1
ELN	Supravalvar aortic stenosis
ELOVL1	ICHTHYOTIC KERATODERMA, SPASTICITY, HYPOMYELINATION, AND DYSMORPHIC FACIAL FEATURES
ELOVL4	Ichthyosis, spastic quadriplegia, and mental retardation
ELOVL4	Stargardt Disease 3
ELOVL4	Spinocerebellar ataxia type 34
ELOVL5	Spinocerebellar ataxia 38
ELP1	Familial dysautonomia
ELP2	Mental retardation, autosomal recessive 58
ELP4	Aniridia 2
EMC1	Cerebellar atrophy, visual impairment, and psychomotor retardation
EMD	Emery-Dreifuss muscular dystrophy 1, X-linked
EMG1	Bowen-Conradi syndrome
EML1	Band heterotopia
EMP2	Nephrotic syndrome, type 10
EMX2	SCHIZENCEPHALY
ENAM	Amelogenesis imperfecta - hypoplastic autosomal dominant - local
ENAM	Amelogenesis imperfecta, type IC
ENG	Hereditary hemorrhagic telangiectasia type 1
ENO3	Glycogen storage disease due to muscle beta-enolase deficiency
ENPP1	Diabetes mellitus type 2
ENPP1	Hypophosphatemic rickets, autosomal recessive, 2
ENPP1	Arterial calcification, generalized, of infancy, 1
ENPP1	Cole disease
ENPP1	Obesity
ENTPD1	Spastic paraplegia 64, autosomal recessive
EOGT	Adams-Oliver syndrome 4
EP300	Colorectal cancer
EP300	Rubinstein-Taybi syndrome 1
EP300	Rubinstein-Taybi syndrome 2
EP300	Menke-Hennekam syndrome 2
EPAS1	Erythrocytosis, familial, 4
EPB41	Elliptocytosis 1
EPB41L1	Mental retardation, autosomal dominant 11
EPB42	Spherocytosis type 5
EPCAM	Hereditary nonpolyposis colorectal cancer type 8
EPCAM	Diarrhea 5, with tufting enteropathy, congenital
EPG5	Vici syndrome
EPHA2	Cataract 6, multiple types
EPHB2	BLEEDING DISORDER, PLATELET-TYPE, 22
EPHB2	Prostate cancer/brain cancer susceptibility
EPHB4	Hydrops fetalis, nonimmune, and/or atrial septal defect, susceptibility to
EPHB4	Capillary malformation-arteriovenous malformation 2
EPHX1	Hypercholanemia, familial
EPHX2	Familial hypercholesterolemia 1
EPM2A	Lafora disease
EPO	ERYTHROCYTOSIS, FAMILIAL, 5
EPO	Microvascular complications of diabetes 2
EPO	DIAMOND-BLACKFAN ANEMIA-LIKE
EPOR	Primary familial polycythemia due to EPO receptor mutation
EPRS1	LEUKODYSTROPHY, HYPOMYELINATING, 15
EPS8	Deafness, autosomal recessive 102
EPS8L2	DEAFNESS, AUTOSOMAL RECESSIVE 106
EPS8L3	Hypotrichosis 5
EPX	Eosinophil peroxidase deficiency
ERAL1	Perrault syndrome 6
ERBB2	Glioma susceptibility 1
ERBB2	Pertuzumab response
ERBB2	Neoplasm of stomach
ERBB2	Trastuzumab response
ERBB2	Lung cancer
ERBB3	Lethal congenital contracture syndrome 2
ERBB3	Acute myeloid leukemia, M6 type
ERBB4	Amyotrophic lateral sclerosis 19
ERCC1	ERCC1-Related Xeroderma Pigmentosum
ERCC1	Cerebrooculofacioskeletal syndrome 4
ERCC1	Xeroderma pigmentosum
ERCC2	Trichothiodystrophy 1, photosensitive
ERCC2	Xeroderma pigmentosum, group D
ERCC2	Cerebrooculofacioskeletal syndrome 2
ERCC3	Trichothiodystrophy 2, photosensitive
ERCC3	Xeroderma pigmentosum, complementation group b
ERCC4	Xeroderma pigmentosum, group F
ERCC4	XFE progeroid syndrome
ERCC4	Fanconi anemia, complementation group Q
ERCC5	Cerebrooculofacioskeletal syndrome 3
ERCC5	Xeroderma pigmentosum, group G
ERCC6	Age-related macular degeneration 5
ERCC6	Premature ovarian failure 11
ERCC6	Cockayne syndrome B
ERCC6	DE SANCTIS-CACCHIONE SYNDROME
ERCC6	Lung cancer
ERCC6	UV-sensitive syndrome 1
ERCC6	Cerebrooculofacioskeletal syndrome 1
ERCC6L2	Bone marrow failure syndrome 2
ERCC8	Cockayne syndrome type A
ERCC8	UV-sensitive syndrome 2
ERF	Chitayat syndrome
ERF	Craniosynostosis 4
ERGIC1	Neurogenic arthrogryposis multiplex congenita
ERLIN1	Spastic paraplegia 62, autosomal recessive
ERLIN2	Spastic paraplegia 18
ERMAP	Antigen in Scianna blood group system
ERMAP	Radin blood group
ERMARD	Periventricular nodular heterotopia 6
ESCO2	Roberts-SC phocomelia syndrome
ESCO2	Roberts-SC phocomelia syndrome
ESPN	USHER SYNDROME, TYPE 1M
ESPN	Deafness, autosomal recessive 36, with or without vestibular involvement
ESR1	Estrogen resistance
ESR1	Myocardial infarction 1
ESR1	Migraine
ESR1	Familial cancer of breast
ESR2	OVARIAN DYSGENESIS 8
ESRP1	DEAFNESS, AUTOSOMAL RECESSIVE 109
ESRRB	Deafness, autosomal recessive 35
ESS2	Shprintzen syndrome
ETFA	Multiple acyl-CoA dehydrogenase deficiency
ETFB	Multiple acyl-CoA dehydrogenase deficiency
ETFDH	Multiple acyl-CoA dehydrogenase deficiency
ETHE1	Ethylmalonic encephalopathy
ETV6	Thrombocytopenia 5
ETV6	Acute myeloid leukemia
ETV6	Acute myeloid leukemia
EVC	Curry-Hall syndrome
EVC	Ellis-van Creveld syndrome
EVC2	Ellis-van Creveld syndrome
EVC2	Curry-Hall syndrome
EWSR1	Ewing's sarcoma
EXOC6B	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 3
EXOSC2	Retinitis pigmentosa-hearing loss-premature aging-short stature-facial dysmorphism syndrome
EXOSC3	Pontocerebellar hypoplasia, type 1b
EXOSC8	Pontocerebellar hypoplasia, type 1c
EXOSC9	PONTOCEREBELLAR HYPOPLASIA, TYPE 1D
EXPH5	Epidermolysis bullosa, nonspecific, autosomal recessive
EXT1	Multiple congenital exostosis
EXT1	Chondrosarcoma
EXT2	Multiple exostoses type 2
EXT2	Seizures, scoliosis, and macrocephaly syndrome
EXTL3	Immunoskeletal dysplasia with neurodevelopmental abnormalities
EYA1	Melnick-Fraser syndrome
EYA1	Branchiootic syndrome
EYA1	Otofaciocervical syndrome 1
EYA4	Primary dilated cardiomyopathy
EYA4	Deafness, autosomal dominant 10
EYA4	Dilated cardiomyopathy 1J
EYS	Retinitis pigmentosa 25
EZH2	Weaver syndrome
F10	Factor X deficiency
F11	Hereditary factor XI deficiency disease
F12	Factor XII deficiency disease
F12	Hereditary angioedema type 3
F13A1	Venous thrombosis
F13A1	Myocardial infarction 1
F13A1	Factor XIII subunit A deficiency
F13B	Factor XIII, b subunit, deficiency of
F2	Venous thrombosis
F2	Pregnancy loss, recurrent, susceptibility to, 2
F2	Ischemic stroke
F2	Prothrombin deficiency, congenital
F5	Ischemic stroke
F5	Recurrent abortion
F5	Factor V deficiency
F5	Budd-Chiari syndrome
F5	Thrombophilia due to activated protein C resistance
F7	Myocardial infarction 1
F7	Factor VII deficiency
F8	Hereditary factor VIII deficiency disease
F9	Hereditary factor IX deficiency disease
F9	Thrombophilia, X-linked, due to factor IX defect
F9	WARFARIN SENSITIVITY, X-LINKED
FA2H	Spastic paraplegia 35
FAAH	Polysubstance abuse, susceptibility to
FADD	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations
FAH	Tyrosinemia type I
FAM111A	Kenny-Caffey syndrome type 2
FAM111A	Osteocraniostenosis
FAM111B	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis
FAM126A	Hypomyelination and Congenital Cataract
FAM149B1	Joubert syndrome 36
FAM161A	Retinitis pigmentosa 28
FAM20A	Amelogenesis imperfecta type 1G
FAM20C	Lethal osteosclerotic bone dysplasia
FAM50A	Armfield X-linked mental retardation syndrome
FAM83H	Amelogenesis imperfecta, hypocalcification type
FAN1	Interstitial nephritis, karyomegalic
FANCA	Fanconi anemia, complementation group A
FANCB	Fanconi anemia, complementation group B
FANCB	VACTERL association with hydrocephaly, X-linked
FANCC	Fanconi anemia, complementation group C
FANCD2	Fanconi anemia, complementation group D2
FANCE	Fanconi anemia, complementation group E
FANCF	Fanconi anemia, complementation group F
FANCG	Fanconi anemia, complementation group G
FANCI	Fanconi anemia, complementation group I
FANCL	Fanconi anemia, complementation group L
FANCM	SPERMATOGENIC FAILURE 28
FANCM	PREMATURE OVARIAN FAILURE 15
FAR1	Peroxisomal fatty acyl-coa reductase 1 disorder
FARS2	Spastic paraplegia 77, autosomal recessive
FARS2	Combined oxidative phosphorylation deficiency 14
FARSA	RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 2
FARSB	Rajab interstitial lung disease with brain calcifications
FAS	Autoimmune lymphoproliferative syndrome
FASLG	Autoimmune lymphoproliferative syndrome
FASLG	Autoimmune lymphoproliferative syndrome, type 1b
FASLG	Lung cancer
FASTKD2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 44
FAT2	SPINOCEREBELLAR ATAXIA 45
FAT4	Van Maldergem syndrome 2
FAT4	Hennekam lymphangiectasia-lymphedema syndrome 2
FBLN1	Synpolydactyly 2
FBLN5	Cutis laxa, autosomal dominant 2
FBLN5	Age-related macular degeneration 3
FBLN5	Autosomal recessive cutis laxa type IA
FBN1	Acromicric dysplasia
FBN1	Ectopia lentis, isolated, autosomal dominant
FBN1	MASS syndrome
FBN1	Geleophysic dysplasia 2
FBN1	Weill-Marchesani syndrome 2
FBN1	Marfan lipodystrophy syndrome
FBN1	Stiff skin syndrome
FBN1	Marfan syndrome
FBN1	Familial thoracic aortic aneurysm and aortic dissection
FBN1	Familial thoracic aortic aneurysm and aortic dissection
FBN2	Macular degeneration, early-onset
FBN2	Congenital contractural arachnodactyly
FBP1	Fructose-biphosphatase deficiency
FBXL3	Mental retardation, short stature, facial anomalies, and joint dislocations
FBXL4	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)
FBXO11	INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES
FBXO31	Mental retardation, autosomal recessive 45
FBXO38	Distal hereditary motor neuronopathy 2D
FBXO7	Parkinson disease 15
FBXW11	Neurodevelopmental, jaw, eye, and digital syndrome
FCGR2A	Cystic fibrosis
FCGR2A	Systemic lupus erythematosus
FCGR2A	Susceptibility to malaria
FCGR2B	Susceptibility to malaria
FCGR2B	Systemic lupus erythematosus
FCGR3A	Immunodeficiency 20
FCN3	Immunodeficiency due to ficolin 3 deficiency
FCSK	Congenital disorder of glycosylation with defective fucosylation 2
FDFT1	SQUALENE SYNTHASE DEFICIENCY
FDPS	Porokeratosis 9, multiple types
FDX2	Mitochondrial myopathy
FDXR	Auditory neuropathy-optic atrophy syndrome
FECH	Protoporphyria, erythropoietic, 1
FERMT1	Kindler's syndrome
FERMT3	Leukocyte adhesion deficiency, type III
FEZF1	Hypogonadotropic hypogonadism 7 with or without anosmia
FEZF1	Hypogonadotropic hypogonadism 22 with or without anosmia
FFAR4	Body mass index quantitative trait locus 10
FGA	Familial visceral amyloidosis, Ostertag type
FGA	Dysfibrinogenemia, congenital
FGA	Afibrinogenemia, congenital
FGB	Afibrinogenemia, congenital
FGB	Dysfibrinogenemia, congenital
FGD1	Aarskog syndrome
FGD4	Charcot-Marie-Tooth disease, type 4H
FGF10	Levy-Hollister syndrome
FGF10	Congenital absence of salivary gland
FGF12	Epileptic encephalopathy, early infantile, 47
FGF14	Spinocerebellar ataxia type 27
FGF16	Metacarpal 4-5 fusion
FGF17	Hypogonadotropic hypogonadism 20 with or without anosmia
FGF17	Hypogonadotropic hypogonadism 7 with or without anosmia
FGF20	Renal hypodysplasia/aplasia 2
FGF23	Autosomal dominant hypophosphatemic rickets
FGF23	TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL, 2
FGF3	Deafness with labyrinthine aplasia microtia and microdontia (LAMM)
FGF5	Trichomegaly
FGF8	Hypogonadotropic hypogonadism 6 with or without anosmia
FGF9	Multiple synostoses syndrome 3
FGFR1	Hartsfield syndrome
FGFR1	Trigonocephaly 1
FGFR1	Hypogonadotropic hypogonadism 2 with or without anosmia
FGFR1	Encephalocraniocutaneous lipomatosis
FGFR1	Pfeiffer syndrome
FGFR1	Jackson-Weiss syndrome
FGFR1	Osteoglophonic dysplasia
FGFR2	Saethre-Chotzen syndrome
FGFR2	Levy-Hollister syndrome
FGFR2	Crouzon syndrome
FGFR2	Neoplasm of stomach
FGFR2	Jackson-Weiss syndrome
FGFR2	Pfeiffer syndrome
FGFR2	Bent bone dysplasia syndrome
FGFR2	Acrocephalosyndactyly type I
FGFR2	Scaphocephaly, maxillary retrusion, and mental retardation
FGFR2	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis
FGFR2	Beare-Stevenson cutis gyrata syndrome
FGFR2	Isolated coronal synostosis
FGFR3	Isolated coronal synostosis
FGFR3	Colorectal cancer
FGFR3	Urinary bladder cancer
FGFR3	Malignant tumor of testis
FGFR3	Thanatophoric dysplasia, type 2
FGFR3	Carcinoma of cervix
FGFR3	Crouzon syndrome with acanthosis nigricans
FGFR3	Hypochondroplasia
FGFR3	Severe achondroplasia with developmental delay and acanthosis nigricans
FGFR3	Levy-Hollister syndrome
FGFR3	Camptodactyly-tall stature-scoliosis-hearing loss syndrome
FGFR3	Epidermal nevus
FGFR3	Achondroplasia
FGFR3	Muenke syndrome
FGFR3	Thanatophoric dysplasia type 1
FGFRL1	4p partial monosomy syndrome
FGG	Dysfibrinogenemia, congenital
FGG	Afibrinogenemia, congenital
FH	Hereditary leiomyomatosis and renal cell cancer
FH	Fumarase deficiency
FHL1	Myopathy, reducing body, X-linked, early-onset, severe
FHL1	Scapuloperoneal myopathy, X-linked dominant
FHL1	Uruguay faciocardiomusculoskeletal syndrome
FHL1	Myopathy with postural muscle atrophy, X-linked
FHL1	Myopathy, reducing body, X-linked, childhood-onset
FIBP	Thauvin-Robinet-Faivre syndrome
FIG4	Polymicrogyria, bilateral temporooccipital
FIG4	Charcot-Marie-Tooth disease, type 4J
FIG4	Amyotrophic lateral sclerosis type 11
FIG4	Yunis-Varon syndrome
FIGLA	Premature ovarian failure 6
FITM2	SIDDIQI SYNDROME
FKBP10	Bruck syndrome 1
FKBP10	Osteogenesis imperfecta, type XI
FKBP14	Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss
FKBP5	Major depressive disorder
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1
FKRP	Congenital muscular dystrophy-dystroglycanopathy (with or without mental retardation) type B5
FKRP	Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies type A5
FKRP	Limb-girdle muscular dystrophy-dystroglycanopathy, type C5
FKTN	Fukuyama congenital muscular dystrophy
FKTN	Dilated cardiomyopathy 1X
FKTN	Primary dilated cardiomyopathy
FKTN	Congenital muscular dystrophy-dystroglycanopathy without mental retardation, type B4
FKTN	Limb-girdle muscular dystrophy-dystroglycanopathy, type C4
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1
FLAD1	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency
FLCN	Multiple fibrofolliculomas
FLCN	Colorectal cancer
FLCN	Renal cell carcinoma, nonpapillary
FLCN	Pneumothorax, primary spontaneous
FLCN	Potocki-Lupski syndrome
FLG	Ichthyosis vulgaris
FLG	Dermatitis, atopic, 2
FLG2	Peeling skin syndrome 6
FLI1	Bleeding disorder, platelet-type, 21
FLNA	Intestinal pseudoobstruction, neuronal, chronic idiopathic, X-linked
FLNA	Periventricular nodular heterotopia 1
FLNA	Frontometaphyseal dysplasia 1
FLNA	Cardiac valvular dysplasia, X-linked
FLNA	FG syndrome 2
FLNA	Melnick-Needles syndrome
FLNA	Terminal osseous dysplasia
FLNA	Oto-palato-digital syndrome, type I
FLNA	Oto-palato-digital syndrome, type II
FLNB	Spondylocarpotarsal synostosis syndrome
FLNB	Boomerang dysplasia
FLNB	Atelosteogenesis type III
FLNB	Atelosteogenesis type 1
FLNB	Larsen syndrome, dominant type
FLNC	Myopathy, distal, 4
FLNC	Cardiomyopathy, familial hypertrophic, 26
FLNC	Myofibrillar myopathy, filamin C-related
FLRT3	Hypogonadotropic hypogonadism 21 with or without anosmia
FLT3	Acute lymphoid leukemia
FLT3	Acute myeloid leukemia
FLT3	Acute myeloid leukemia
FLT4	Hereditary lymphedema type I
FLT4	Hemangioma, capillary infantile
FLT4	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 7
FLVCR1	Posterior column ataxia-retinitis pigmentosa syndrome
FLVCR2	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome
FMN2	Mental retardation, autosomal recessive 47
FMO3	Trimethylaminuria
FMO3	Trimethylaminuria
FMR1	Fragile X syndrome
FMR1	Fragile X tremor/ataxia syndrome
FMR1	Premature ovarian failure 1
FN1	Glomerulopathy with fibronectin deposits 2
FN1	Spondylometaphyseal dysplasia - Sutcliffe type
FOLR1	Cerebral folate deficiency
FOXC1	Axenfeld-Rieger syndrome type 3
FOXC1	Anterior segment dysgenesis 3
FOXC2	Distichiasis-lymphedema syndrome
FOXD3	Autoimmune disease 1
FOXE1	Bamforth-Lazarus syndrome
FOXE1	Thyroid cancer, nonmedullary, 4
FOXE3	Aortic aneurysm, familial thoracic 11, susceptibility to
FOXE3	Cataract 34, multiple types
FOXE3	Congenital primary aphakia
FOXF1	Persistent fetal circulation syndrome
FOXG1	Rett syndrome, congenital variant
FOXH1	Holoprosencephaly sequence
FOXI1	Pendred syndrome
FOXI1	Enlarged vestibular aqueduct
FOXJ1	CILIARY DYSKINESIA, PRIMARY, 43
FOXL2	Premature ovarian failure 3
FOXL2	Blepharophimosis, ptosis, and epicanthus inversus
FOXN1	T-cell immunodeficiency, congenital alopecia, and nail dystrophy
FOXN1	T-CELL LYMPHOPENIA, INFANTILE, WITH OR WITHOUT NAIL DYSTROPHY, AUTOSOMAL DOMINANT
FOXO1	Alveolar rhabdomyosarcoma (disease)
FOXP1	Mental retardation with language impairment and with or without autistic features
FOXP2	Speech-language disorder 1
FOXP3	Insulin-dependent diabetes mellitus secretory diarrhea syndrome
FOXRED1	Mitochondrial complex 1 deficiency, nuclear type 19
FRA16E	Chromosome 16p12.1 deletion syndrome, 520kb
FRAS1	Fraser syndrome 1
FREM1	BNAR syndrome
FREM1	Oculotrichoanal syndrome
FREM1	Trigonocephaly 2
FREM2	FRASER SYNDROME 2
FREM2	Cryptophthalmos, unilateral or bilateral, isolated
FRG1	Facioscapulohumeral muscular dystrophy 1a
FRMD4A	Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia
FRMD7	Infantile nystagmus, X-linked
FRMPD4	Mental retardation, X-linked 104
FRRS1L	Epileptic encephalopathy, early infantile, 37
FRZB	Osteoarthritis
FSCN2	Retinitis pigmentosa 30
FSHB	Hypogonadotropic hypogonadism 24 without anosmia
FSHR	Ovarian dysgenesis 1
FSHR	Ovarian hyperstimulation syndrome
FSHR	Dizygotic twins
FSIP2	SPERMATOGENIC FAILURE 34
FTCD	GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY
FTH1	Hemochromatosis type 5
FTL	L-ferritin deficiency
FTL	Hereditary hyperferritinemia with congenital cataracts
FTL	Neuroferritinopathy
FTO	Growth retardation, developmental delay, coarse facies, and early death
FTO	Body mass index quantitative trait locus 14
FTSJ1	Mental retardation 9, X-linked
FUCA1	Fucosidosis
FUS	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia
FUS	Tremor, hereditary essential, 4
FUT1	Bombay phenotype
FUT2	Bombay phenotype
FUT2	Vitamin b12 plasma level quantitative trait locus 1
FUT3	BLOOD GROUP, LEWIS SYSTEM
FUT6	Fucosyltransferase 6 deficiency
FUT8	Congenital disorder of glycosylation with defective fucosylation 1
FUZ	Neural tube defect
FXN	Friedreich ataxia 1
FXR1	MYOPATHY, CONGENITAL, WITH RESPIRATORY INSUFFICIENCY AND BONE FRACTURES
FXR1	MYOPATHY, CONGENITAL PROXIMAL, WITH MINICORE LESIONS
FXYD2	Renal hypomagnesemia 2
FYB1	Thrombocytopenia 3
FYCO1	Cataract 18
FZD2	Autosomal dominant omodysplasia
FZD4	Exudative vitreoretinopathy 1
FZD6	Nail disorder, nonsyndromic congenital, 1
G6PC	Glycogen storage disease due to glucose-6-phosphatase deficiency type IA
G6PC3	Severe congenital neutropenia 4, autosomal recessive
G6PD	Chlorpropamide response
G6PD	Glyburide response
G6PD	Glipizide response
G6PD	Pegloticase response
G6PD	Tolbutamide response
G6PD	Glimepiride response
G6PD	Tafenoquine response
G6PD	Susceptibility to malaria
G6PD	Rasburicase response
G6PD	Anemia, nonspherocytic hemolytic, due to G6PD deficiency
GAA	Glycogen storage disease, type II
GAB1	Deafness, autosomal recessive 26
GABBR2	Early infantile epileptic encephalopathy 59
GABBR2	NEURODEVELOPMENTAL DISORDER WITH POOR LANGUAGE AND LOSS OF HAND SKILLS
GABBR2	Tobacco addiction, susceptibility to
GABRA1	Epilepsy, juvenile myoclonic 5
GABRA1	Epileptic encephalopathy, early infantile, 19
GABRA2	Alcohol dependence
GABRA2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 78
GABRA5	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 79
GABRB1	Epileptic encephalopathy, early infantile, 45
GABRB2	Epileptic encephalopathy, infantile or early childhood 2
GABRB3	Epilepsy, childhood absence 5
GABRB3	Epileptic encephalopathy, early infantile, 43
GABRD	Epilepsy, idiopathic generalized 10
