gene,text
DCHS1,Mitral valve prolapse 2
DCHS1,Van Maldergem syndrome 1
DCK,Gemcitabine response
DCLRE1C,Severe combined immunodeficiency due to DCLRE1C deficiency
DCLRE1C,Histiocytic medullary reticulosis
DCN,Congenital Stromal Corneal Dystrophy
DCPS,AL-RAQAD SYNDROME
DCTN1,Perry syndrome
DCTN1,Amyotrophic lateral sclerosis type 1
DCTN1,Distal hereditary motor neuronopathy type 7B
DCTN2,Charcot-Marie-Tooth disease
DCX,"Lissencephaly, X-linked"
DCXR,Essential pentosuria
DDB2,"Xeroderma pigmentosum, group E"
DDC,Deficiency of aromatic-L-amino-acid decarboxylase
DDHD1,"Spastic paraplegia 28, autosomal recessive"
DDHD2,"Spastic paraplegia 54, autosomal recessive"
DDOST,Congenital disorder of glycosylation type Ir
DDOST,Congenital disorder of glycosylation
DDR2,Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome
DDR2,Warburg-Cinotti syndrome
DDRGK1,"Spondyloepimetaphyseal dysplasia, Shohat type"
DDX11,Warsaw breakage syndrome
DDX3X,"Mental retardation, X-linked 102"
DDX3Y,"Spermatogenic failure, Y-linked 2"
DDX41,"Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to"
DDX58,Singleton-Merten syndrome 2
DDX59,Orofaciodigital syndrome V
DDX6,INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES
DEAF1,"Dyskinesia, seizures, and intellectual developmental disorder"
DEAF1,"Mental retardation, autosomal dominant 24"
DEGS1,"LEUKODYSTROPHY, HYPOMYELINATING, 18"
DENND5A,"Epileptic encephalopathy, early infantile, 49"
DEPDC5,"Epilepsy, familial focal, with variable foci 1"
DES,Dilated cardiomyopathy 1I
DES,Myofibrillar myopathy 1
DES,Primary dilated cardiomyopathy
DES,"Neurogenic scapuloperoneal syndrome, Kaeser type"
DGAT1,Diarrhea 7
DGCR2,Shprintzen syndrome
DGCR6,Shprintzen syndrome
DGCR8,Shprintzen syndrome
DGKE,"Mesangiocapillary glomerulonephritis, type II"
DGKE,"Nephrotic syndrome, type 7"
DGUOK,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4"
DGUOK,"Mitochondrial DNA-depletion syndrome 3, hepatocerebral"
DGUOK,"Portal hypertension, noncirrhotic"
DHCR24,Desmosterolosis
DHCR7,Smith-Lemli-Opitz syndrome
DHDDS,Retinitis pigmentosa 59
DHDDS,DEVELOPMENTAL DELAY AND SEIZURES WITH OR WITHOUT MOVEMENT ABNORMALITIES
DHFR,Megaloblastic anemia due to dihydrofolate reductase deficiency
DHH,"46,XY gonadal dysgenesis, partial, with minifascicular neuropathy"
DHH,"46,XY sex reversal, type 7"
DHODH,Miller syndrome
DHPS,NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT
DHS6S1,North Carolina macular dystrophy
DHTKD1,"Charcot-Marie-Tooth disease, axonal, type 2Q"
DHTKD1,2-aminoadipic 2-oxoadipic aciduria
DHX16,NEUROMUSCULAR OCULOAUDITORY SYNDROME
DHX30,NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE
DHX37,"46,XY sex reversal 11"
DHX37,NEURODEVELOPMENTAL DISORDER WITH BRAIN ANOMALIES AND WITH OR WITHOUT VERTEBRAL OR CARDIAC ANOMALIES
DHX38,Retinitis pigmentosa 84
DIABLO,"Deafness, autosomal dominant 64"
DIAPH1,"Seizures, cortical blindness, and microcephaly syndrome"
DIAPH1,"Deafness, autosomal dominant 1"
DIAPH2,Premature ovarian failure 2a
DIAPH3,"Auditory neuropathy, autosomal dominant, 1"
DICER1,"Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors"
DICER1,"Rhabdomyosarcoma, embryonal, 2"
DICER1,Global developmental delay - lung cysts - overgrowth - Wilms tumor syndrome
DICER1,DICER1-related pleuropulmonary blastoma cancer predisposition syndrome
DIP2B,"Mental retardation, fra12a type"
DIS3L2,Perlman syndrome
DISC1,Schizophrenia 9
DISC2,Schizophrenia
DKC1,"Dyskeratosis congenita, X-linked"
DKC1,Hoyeraal-Hreidarsson syndrome
DLAT,Pyruvate dehydrogenase E2 deficiency
DLC1,Colorectal cancer
DLD,"Maple syrup urine disease, type 3"
DLG3,X-Linked mental retardation 90
DLG4,INTELLECTUAL DEVELOPMENTAL DISORDER 62
DLL1,NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES
DLL3,"Spondylocostal dysostosis 1, autosomal recessive"
DLL4,Adams-Oliver syndrome 6
DLST,PARAGANGLIOMAS 7
DLX3,Tricho-dento-osseous syndrome
DLX3,"Amelogenesis imperfecta, type IV"
DLX4,Orofacial cleft 15
DLX5,Split-hand/foot malformation 1
DLX5,Split-hand/foot malformation 1 with sensorineural hearing loss
DMD,Becker muscular dystrophy
DMD,Duchenne muscular dystrophy
DMD,Dilated cardiomyopathy 3B
DMGDH,Dimethylglycine dehydrogenase deficiency
DMP1,Autosomal recessive hypophosphatemic vitamin D refractory rickets
DMPK,Steinert myotonic dystrophy syndrome
DMXL2,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 81"
DMXL2,Polyendocrine-polyneuropathy syndrome
DMXL2,"DEAFNESS, AUTOSOMAL DOMINANT 71"
DNA2,Seckel syndrome 8
DNA2,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6"
DNAAF1,"Ciliary dyskinesia, primary, 13"
DNAAF2,"Ciliary dyskinesia, primary, 10"
DNAAF3,"Ciliary dyskinesia, primary, 2"
DNAAF4,Dyslexia 1
DNAAF4,Primary ciliary dyskinesia 25
DNAAF5,Primary ciliary dyskinesia
DNAAF5,"Ciliary dyskinesia, primary, 18"
DNAAF6,"Ciliary dyskinesia, primary, 36, X-linked"
DNAH1,"Ciliary dyskinesia, primary, 37"
DNAH1,SPERMATOGENIC FAILURE 18
DNAH11,"Ciliary dyskinesia, primary, 7"
DNAH17,SPERMATOGENIC FAILURE 39
DNAH5,"Ciliary dyskinesia, primary, 3"
DNAH9,"CILIARY DYSKINESIA, PRIMARY, 40"
DNAI1,Kartagener syndrome
DNAI2,"Ciliary dyskinesia, primary, 9"
DNAJB11,POLYCYSTIC KIDNEY DISEASE 6 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE
DNAJB13,"Ciliary dyskinesia, primary, 34"
DNAJB2,"Spinal muscular atrophy, distal, autosomal recessive, 5"
DNAJB2,"Charcot-Marie-Tooth disease, type 2"
DNAJB6,"Limb-girdle muscular dystrophy, type 1E"
DNAJC12,"Hyperphenylalaninemia, mild, non-bh4-deficient"
DNAJC19,3-methylglutaconic aciduria type V
DNAJC21,Shwachman-Diamond syndrome 1
DNAJC21,Bone marrow failure syndrome 3
DNAJC21,Shwachman syndrome
DNAJC3,"Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus"
DNAJC5,Neuronal ceroid lipofuscinosis 4B
DNAJC6,"Parkinson disease 19a, juvenile-onset"
DNAL1,"Ciliary dyskinesia, primary, 16"
DNAL4,Mirror movements 3
DNASE1,Systemic lupus erythematosus
DNASE1L3,Systemic lupus erythematosus 16
DNM1,"Epileptic encephalopathy, early infantile, 31"
DNM1L,Optic atrophy 5
DNM1L,Encephalopathy due to defective mitochondrial and peroxisomal fission 1
DNM2,"Myopathy, centronuclear, 1"
DNM2,"Charcot-Marie-Tooth disease, dominant intermediate B"
DNM2,Lethal congenital contracture syndrome 5
DNMBP,CATARACT 48
DNMT1,"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant"
DNMT1,Hereditary sensory neuropathy type IE
DNMT3A,Tatton-Brown-rahman syndrome
DNMT3A,Acute myeloid leukemia
DNMT3A,Acute myeloid leukemia
DNMT3A,HEYN-SPROUL-JACKSON SYNDROME
DNMT3B,Immunodeficiency-centromeric instability-facial anomalies syndrome 1
DOCK2,Immunodeficiency 40
DOCK3,"NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA"
DOCK6,Adams-Oliver syndrome 2
DOCK7,"Epileptic encephalopathy, early infantile, 23"
DOCK8,"Hyperimmunoglobulin E recurrent infection syndrome, autosomal recessive"
DOK7,FETAL AKINESIA DEFORMATION SEQUENCE 3
DOK7,"Myasthenia, limb-girdle, familial"
DOLK,Congenital disorder of glycosylation type 1M
DONSON,Microcephaly-micromelia syndrome
DONSON,"MICROCEPHALY, SHORT STATURE, AND LIMB ABNORMALITIES"
DPAGT1,DPAGT1-CDG
DPAGT1,Congenital myasthenic syndrome 13
DPF2,COFFIN-SIRIS SYNDROME 7
DPH1,"Developmental delay with short stature, dysmorphic features, and sparse hair"
DPM1,Congenital disorder of glycosylation type 1E
DPM2,Congenital disorder of glycosylation
DPM2,Congenital disorder of glycosylation type 1u
DPM3,Congenital disorder of glycosylation type 1O
DPM3,"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 15"
DPP6,"Mental retardation, autosomal dominant 33"
DPP6,"Ventricular fibrillation, paroxysmal familial, 2"
DPY19L2,Spermatogenic failure 9
DPYD,Dihydropyrimidine dehydrogenase deficiency
DPYD,Fluoropyrimidine response
DPYD,Capecitabine response
DPYD,Tegafur response
DPYS,Dihydropyrimidinase deficiency
DRAM2,Cone-rod dystrophy 21
DRC1,"Ciliary dyskinesia, primary, 21"
DRD3,Schizophrenia
DRD3,Hereditary essential tremor 1
DRD4,Attention deficit hyperactivity disorder
DRD5,Attention deficit hyperactivity disorder
DRD5,Blepharospasm
DRP2,Charcot-Marie-Tooth disease
DSC2,"Arrhythmogenic right ventricular cardiomyopathy, type 11"
DSC3,Hypotrichosis and recurrent skin vesicles
DSE,"Ehlers-Danlos syndrome, musculocontractural type 2"
DSG1,"Palmoplantar keratoderma i, striate, focal, or diffuse"
DSG1,"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige"
DSG2,Dilated cardiomyopathy 1BB
DSG2,"Arrhythmogenic right ventricular cardiomyopathy, type 10"
DSG2,Primary dilated cardiomyopathy
DSG4,Hypotrichosis 6
DSP,Lethal acantholytic epidermolysis bullosa
DSP,"Arrhythmogenic right ventricular cardiomyopathy, type 8"
DSP,"Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis"
DSP,Skin fragility-woolly hair-palmoplantar keratoderma syndrome
DSP,Keratosis palmoplantaris striata II
DSP,Dilated cardiomyopathy with woolly hair and keratoderma
DSPP,"Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1"
DSPP,Denticles
DSPP,Dentinogenesis imperfecta - Shield's type II
DSPP,Dentinogenesis imperfecta - Shield's type III
DST,"Epidermolysis bullosa simplex, autosomal recessive 2"
DST,"Neuropathy, hereditary sensory and autonomic, type VI"
DSTYK,Hereditary spastic paraplegia 23
DSTYK,"Congenital anomalies of kidney and urinary tract 1, susceptibility to"
DTNA,Left ventricular noncompaction 1
DTNBP1,Hermansky-Pudlak syndrome 7
DUOX2,Thyroid dyshormonogenesis 6
DUOXA2,Thyroglobulin synthesis defect
DUSP6,Hypogonadotropic hypogonadism 7 with or without anosmia
DUSP6,Hypogonadotropic hypogonadism 19 with or without anosmia
DVL1,"Robinow syndrome, autosomal dominant 1"
DVL1,"Robinow syndrome, autosomal dominant 2"
DVL3,"Robinow syndrome, autosomal dominant 3"
DVL3,"Robinow syndrome, autosomal dominant 3"
DYM,Smith-McCort dysplasia 1
DYM,Dyggve-Melchior-Clausen syndrome
DYNC1H1,"Spinal muscular atrophy, lower extremity predominant 1, autosomal dominant"
DYNC1H1,"Charcot-Marie-Tooth disease, axonal, type 2O"
DYNC1H1,"Mental retardation, autosomal dominant 13"
DYNC1I2,NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES
DYNC2H1,Short-rib thoracic dysplasia 3 with or without polydactyly
DYNC2I1,Short-rib thoracic dysplasia 8 with or without polydactyly
DYNC2I2,Short-rib thoracic dysplasia 11 with or without polydactyly
DYNC2LI1,Short-rib thoracic dysplasia 15 with polydactyly
DYNLT2B,Short-rib thoracic dysplasia 17 with or without polydactyly
DYRK1A,"Mental retardation, autosomal dominant 7"
DYRK1B,Abdominal obesity-metabolic syndrome 3
DYSF,Autosomal recessive limb-girdle muscular dystrophy type 2B
DYSF,"Myopathy, distal, with anterior tibial onset"
DYSF,Miyoshi muscular dystrophy 1
DYSF,Limb-girdle muscular dystrophy
DYSF,Limb-girdle muscular dystrophy
DZIP1L,POLYCYSTIC KIDNEY DISEASE 5
EARS2,Combined oxidative phosphorylation deficiency 12
EBF3,"Hypotonia, ataxia, and delayed development syndrome"
EBP,Chondrodysplasia punctata 2 X-linked dominant
EBP,MEND syndrome
ECE1,Essential hypertension
ECE1,"Hirschsprung disease, cardiac defects, and autonomic dysfunction"
ECEL1,Distal arthrogryposis type 5D
ECHS1,Mitochondrial short-chain enoyl-coa hydratase 1 deficiency
ECM1,Lipid proteinosis
EDA,Hypohidrotic X-linked ectodermal dysplasia
EDA,"Tooth agenesis, selective, X-linked, 1"
EDAR,Autosomal recessive hypohidrotic ectodermal dysplasia syndrome
EDAR,"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant"
EDAR,Hair morphology 1
EDARADD,"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant"
EDARADD,"Ectodermal dysplasia 11b, hypohidrotic/hair/tooth type, autosomal recessive"
EDARADD,Autosomal recessive hypohidrotic ectodermal dysplasia syndrome
EDARADD,"Ectodermal dysplasia 11a, hypohidrotic/hair/tooth type, autosomal dominant"
EDC3,"Mental retardation, autosomal recessive 50"
EDN1,Auriculocondylar syndrome 3
EDN1,"Question mark ears, isolated"
EDN3,Hirschsprung disease 4
EDN3,Congenital central hypoventilation
EDN3,Waardenburg syndrome type 4B
EDNRA,Migraine
EDNRA,Mandibulofacial dysostosis with alopecia
EDNRB,Waardenburg syndrome type 4A
EDNRB,Hirschsprung disease 2
EDNRB,ABCD syndrome
EED,Cohen-Gibson syndrome
EEF1A2,"Mental retardation, autosomal dominant 38"
EEF1A2,"Epileptic encephalopathy, early infantile, 33"
EEF1AKNMT,"Deafness, autosomal recessive 26, modifier of"
EEF2,Spinocerebellar ataxia type 26
EFEMP1,Doyne honeycomb retinal dystrophy
EFEMP2,Autosomal recessive cutis laxa type 1B
EFHC1,Juvenile myoclonic epilepsy
EFHC1,"Epilepsy, juvenile absence, susceptibility to, 1"
EFL1,SHWACHMAN-DIAMOND SYNDROME 2
EFNB1,Craniofrontonasal syndrome
EFTUD2,Mandibulofacial dysostosis-microcephaly syndrome
EGF,"Hypomagnesemia 4, renal"
EGFR,"Inflammatory skin and bowel disease, neonatal, 2"
EGFR,Lung cancer
EGLN1,"Erythrocytosis, familial, 3"
EGLN1,"Hemoglobin, high altitude adaptation"
EGR2,"Congenital hypomyelinating neuropathy 1, autosomal recessive"
EGR2,Dejerine-Sottas disease
EGR2,"Charcot-Marie-Tooth disease, demyelinating, type 1d"
EHBP1,"Prostate cancer, hereditary, 12"
EHHADH,Fanconi renotubular syndrome 3
EHMT1,Kleefstra syndrome 1
EIF2AK1,"LEUKOENCEPHALOPATHY, MOTOR DELAY, SPASTICITY, AND DYSARTHRIA SYNDROME"
EIF2AK2,"LEUKOENCEPHALOPATHY, DEVELOPMENTAL DELAY, AND EPISODIC NEUROLOGIC REGRESSION SYNDROME"
EIF2AK3,Wolcott-Rallison dysplasia
EIF2AK4,"Pulmonary venoocclusive disease 2, autosomal recessive"
EIF2B1,Leukoencephalopathy with vanishing white matter
EIF2B2,Leukoencephalopathy with vanishing white matter
EIF2B3,Leukoencephalopathy with vanishing white matter
EIF2B4,Leukoencephalopathy with vanishing white matter
EIF2B5,Leukoencephalopathy with vanishing white matter
EIF2S3,MEHMO syndrome
EIF3F,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67"
EIF4A3,Richieri Costa-Pereira syndrome
EIF4E,"Autism, susceptibility to, 19"
EIF4G1,Parkinson disease 18
ELAC2,"Prostate cancer, hereditary, 2"
ELAC2,Combined oxidative phosphorylation deficiency 17
ELANE,"Neutropenia, severe congenital 1, autosomal dominant"
ELANE,Cyclical neutropenia
ELMO2,"Vascular malformation, primary intraosseous"
ELMOD3,"Deafness, autosomal recessive 88"
ELN,Williams syndrome
ELN,"Cutis laxa, autosomal dominant 1"
ELN,Supravalvar aortic stenosis
ELOVL1,"ICHTHYOTIC KERATODERMA, SPASTICITY, HYPOMYELINATION, AND DYSMORPHIC FACIAL FEATURES"
ELOVL4,"Ichthyosis, spastic quadriplegia, and mental retardation"
ELOVL4,Stargardt Disease 3
ELOVL4,Spinocerebellar ataxia type 34
ELOVL5,Spinocerebellar ataxia 38
ELP1,Familial dysautonomia
ELP2,"Mental retardation, autosomal recessive 58"
ELP4,Aniridia 2
EMC1,"Cerebellar atrophy, visual impairment, and psychomotor retardation"
EMD,"Emery-Dreifuss muscular dystrophy 1, X-linked"
EMG1,Bowen-Conradi syndrome
EML1,Band heterotopia
EMP2,"Nephrotic syndrome, type 10"
EMX2,SCHIZENCEPHALY
ENAM,Amelogenesis imperfecta - hypoplastic autosomal dominant - local
ENAM,"Amelogenesis imperfecta, type IC"
ENG,Hereditary hemorrhagic telangiectasia type 1
ENO3,Glycogen storage disease due to muscle beta-enolase deficiency
ENPP1,Diabetes mellitus type 2
ENPP1,"Hypophosphatemic rickets, autosomal recessive, 2"
ENPP1,"Arterial calcification, generalized, of infancy, 1"
ENPP1,Cole disease
ENPP1,Obesity
ENTPD1,"Spastic paraplegia 64, autosomal recessive"
EOGT,Adams-Oliver syndrome 4
EP300,Colorectal cancer
EP300,Rubinstein-Taybi syndrome 1
EP300,Rubinstein-Taybi syndrome 2
EP300,Menke-Hennekam syndrome 2
EPAS1,"Erythrocytosis, familial, 4"
EPB41,Elliptocytosis 1
EPB41L1,"Mental retardation, autosomal dominant 11"
EPB42,Spherocytosis type 5
EPCAM,Hereditary nonpolyposis colorectal cancer type 8
EPCAM,"Diarrhea 5, with tufting enteropathy, congenital"
EPG5,Vici syndrome
EPHA2,"Cataract 6, multiple types"
EPHB2,"BLEEDING DISORDER, PLATELET-TYPE, 22"
EPHB2,Prostate cancer/brain cancer susceptibility
EPHB4,"Hydrops fetalis, nonimmune, and/or atrial septal defect, susceptibility to"
EPHB4,Capillary malformation-arteriovenous malformation 2
EPHX1,"Hypercholanemia, familial"
EPHX2,Familial hypercholesterolemia 1
EPM2A,Lafora disease
EPO,"ERYTHROCYTOSIS, FAMILIAL, 5"
EPO,Microvascular complications of diabetes 2
EPO,DIAMOND-BLACKFAN ANEMIA-LIKE
EPOR,Primary familial polycythemia due to EPO receptor mutation
EPRS1,"LEUKODYSTROPHY, HYPOMYELINATING, 15"
EPS8,"Deafness, autosomal recessive 102"
EPS8L2,"DEAFNESS, AUTOSOMAL RECESSIVE 106"
EPS8L3,Hypotrichosis 5
EPX,Eosinophil peroxidase deficiency
ERAL1,Perrault syndrome 6
ERBB2,Glioma susceptibility 1
ERBB2,Pertuzumab response
ERBB2,Neoplasm of stomach
ERBB2,Trastuzumab response
ERBB2,Lung cancer
ERBB3,Lethal congenital contracture syndrome 2
ERBB3,"Acute myeloid leukemia, M6 type"
ERBB4,Amyotrophic lateral sclerosis 19
ERCC1,ERCC1-Related Xeroderma Pigmentosum
ERCC1,Cerebrooculofacioskeletal syndrome 4
ERCC1,Xeroderma pigmentosum
ERCC2,"Trichothiodystrophy 1, photosensitive"
ERCC2,"Xeroderma pigmentosum, group D"
ERCC2,Cerebrooculofacioskeletal syndrome 2
ERCC3,"Trichothiodystrophy 2, photosensitive"
ERCC3,"Xeroderma pigmentosum, complementation group b"
ERCC4,"Xeroderma pigmentosum, group F"
ERCC4,XFE progeroid syndrome
ERCC4,"Fanconi anemia, complementation group Q"
ERCC5,Cerebrooculofacioskeletal syndrome 3
ERCC5,"Xeroderma pigmentosum, group G"
ERCC6,Age-related macular degeneration 5
ERCC6,Premature ovarian failure 11
ERCC6,Cockayne syndrome B
ERCC6,DE SANCTIS-CACCHIONE SYNDROME
ERCC6,Lung cancer
ERCC6,UV-sensitive syndrome 1
ERCC6,Cerebrooculofacioskeletal syndrome 1
ERCC6L2,Bone marrow failure syndrome 2
ERCC8,Cockayne syndrome type A
ERCC8,UV-sensitive syndrome 2
ERF,Chitayat syndrome
ERF,Craniosynostosis 4
ERGIC1,Neurogenic arthrogryposis multiplex congenita
ERLIN1,"Spastic paraplegia 62, autosomal recessive"
ERLIN2,Spastic paraplegia 18
ERMAP,Antigen in Scianna blood group system
ERMAP,Radin blood group
ERMARD,Periventricular nodular heterotopia 6
ESCO2,Roberts-SC phocomelia syndrome
ESCO2,Roberts-SC phocomelia syndrome
ESPN,"USHER SYNDROME, TYPE 1M"
ESPN,"Deafness, autosomal recessive 36, with or without vestibular involvement"
ESR1,Estrogen resistance
ESR1,Myocardial infarction 1
ESR1,Migraine
ESR1,Familial cancer of breast
ESR2,OVARIAN DYSGENESIS 8
ESRP1,"DEAFNESS, AUTOSOMAL RECESSIVE 109"
ESRRB,"Deafness, autosomal recessive 35"
ESS2,Shprintzen syndrome
ETFA,Multiple acyl-CoA dehydrogenase deficiency
ETFB,Multiple acyl-CoA dehydrogenase deficiency
ETFDH,Multiple acyl-CoA dehydrogenase deficiency
ETHE1,Ethylmalonic encephalopathy
ETV6,Thrombocytopenia 5
ETV6,Acute myeloid leukemia
ETV6,Acute myeloid leukemia
EVC,Curry-Hall syndrome
EVC,Ellis-van Creveld syndrome
EVC2,Ellis-van Creveld syndrome
EVC2,Curry-Hall syndrome
EWSR1,Ewing's sarcoma
EXOC6B,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 3"
EXOSC2,Retinitis pigmentosa-hearing loss-premature aging-short stature-facial dysmorphism syndrome
EXOSC3,"Pontocerebellar hypoplasia, type 1b"
EXOSC8,"Pontocerebellar hypoplasia, type 1c"
EXOSC9,"PONTOCEREBELLAR HYPOPLASIA, TYPE 1D"
EXPH5,"Epidermolysis bullosa, nonspecific, autosomal recessive"
EXT1,Multiple congenital exostosis
EXT1,Chondrosarcoma
EXT2,Multiple exostoses type 2
EXT2,"Seizures, scoliosis, and macrocephaly syndrome"
EXTL3,Immunoskeletal dysplasia with neurodevelopmental abnormalities
EYA1,Melnick-Fraser syndrome
EYA1,Branchiootic syndrome
EYA1,Otofaciocervical syndrome 1
EYA4,Primary dilated cardiomyopathy
EYA4,"Deafness, autosomal dominant 10"
EYA4,Dilated cardiomyopathy 1J
EYS,Retinitis pigmentosa 25
EZH2,Weaver syndrome
F10,Factor X deficiency
F11,Hereditary factor XI deficiency disease
F12,Factor XII deficiency disease
F12,Hereditary angioedema type 3
F13A1,Venous thrombosis
F13A1,Myocardial infarction 1
F13A1,Factor XIII subunit A deficiency
F13B,"Factor XIII, b subunit, deficiency of"
F2,Venous thrombosis
F2,"Pregnancy loss, recurrent, susceptibility to, 2"
F2,Ischemic stroke
F2,"Prothrombin deficiency, congenital"
F5,Ischemic stroke
F5,Recurrent abortion
F5,Factor V deficiency
F5,Budd-Chiari syndrome
F5,Thrombophilia due to activated protein C resistance
F7,Myocardial infarction 1
F7,Factor VII deficiency
F8,Hereditary factor VIII deficiency disease
F9,Hereditary factor IX deficiency disease
F9,"Thrombophilia, X-linked, due to factor IX defect"
F9,"WARFARIN SENSITIVITY, X-LINKED"
FA2H,Spastic paraplegia 35
FAAH,"Polysubstance abuse, susceptibility to"
FADD,"Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations"
FAH,Tyrosinemia type I
FAM111A,Kenny-Caffey syndrome type 2
FAM111A,Osteocraniostenosis
FAM111B,"Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis"
FAM126A,Hypomyelination and Congenital Cataract
FAM149B1,Joubert syndrome 36
FAM161A,Retinitis pigmentosa 28
FAM20A,Amelogenesis imperfecta type 1G
FAM20C,Lethal osteosclerotic bone dysplasia
FAM50A,Armfield X-linked mental retardation syndrome
FAM83H,"Amelogenesis imperfecta, hypocalcification type"
FAN1,"Interstitial nephritis, karyomegalic"
FANCA,"Fanconi anemia, complementation group A"
FANCB,"Fanconi anemia, complementation group B"
FANCB,"VACTERL association with hydrocephaly, X-linked"
FANCC,"Fanconi anemia, complementation group C"
FANCD2,"Fanconi anemia, complementation group D2"
FANCE,"Fanconi anemia, complementation group E"
FANCF,"Fanconi anemia, complementation group F"
FANCG,"Fanconi anemia, complementation group G"
FANCI,"Fanconi anemia, complementation group I"
FANCL,"Fanconi anemia, complementation group L"
FANCM,SPERMATOGENIC FAILURE 28
FANCM,PREMATURE OVARIAN FAILURE 15
FAR1,Peroxisomal fatty acyl-coa reductase 1 disorder
FARS2,"Spastic paraplegia 77, autosomal recessive"
FARS2,Combined oxidative phosphorylation deficiency 14
FARSA,RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 2
FARSB,Rajab interstitial lung disease with brain calcifications
FAS,Autoimmune lymphoproliferative syndrome
FASLG,Autoimmune lymphoproliferative syndrome
FASLG,"Autoimmune lymphoproliferative syndrome, type 1b"
FASLG,Lung cancer
FASTKD2,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 44
FAT2,SPINOCEREBELLAR ATAXIA 45
FAT4,Van Maldergem syndrome 2
FAT4,Hennekam lymphangiectasia-lymphedema syndrome 2
FBLN1,Synpolydactyly 2
FBLN5,"Cutis laxa, autosomal dominant 2"
FBLN5,Age-related macular degeneration 3
FBLN5,Autosomal recessive cutis laxa type IA
FBN1,Acromicric dysplasia
FBN1,"Ectopia lentis, isolated, autosomal dominant"
FBN1,MASS syndrome
FBN1,Geleophysic dysplasia 2
FBN1,Weill-Marchesani syndrome 2
FBN1,Marfan lipodystrophy syndrome
FBN1,Stiff skin syndrome
FBN1,Marfan syndrome
FBN1,Familial thoracic aortic aneurysm and aortic dissection
FBN1,Familial thoracic aortic aneurysm and aortic dissection
FBN2,"Macular degeneration, early-onset"
FBN2,Congenital contractural arachnodactyly
FBP1,Fructose-biphosphatase deficiency
FBXL3,"Mental retardation, short stature, facial anomalies, and joint dislocations"
FBXL4,Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)
FBXO11,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES
FBXO31,"Mental retardation, autosomal recessive 45"
FBXO38,Distal hereditary motor neuronopathy 2D
FBXO7,Parkinson disease 15
FBXW11,"Neurodevelopmental, jaw, eye, and digital syndrome"
FCGR2A,Cystic fibrosis
FCGR2A,Systemic lupus erythematosus
FCGR2A,Susceptibility to malaria
FCGR2B,Susceptibility to malaria
FCGR2B,Systemic lupus erythematosus
FCGR3A,Immunodeficiency 20
FCN3,Immunodeficiency due to ficolin 3 deficiency
FCSK,Congenital disorder of glycosylation with defective fucosylation 2
FDFT1,SQUALENE SYNTHASE DEFICIENCY
FDPS,"Porokeratosis 9, multiple types"
FDX2,Mitochondrial myopathy
FDXR,Auditory neuropathy-optic atrophy syndrome
FECH,"Protoporphyria, erythropoietic, 1"
FERMT1,Kindler's syndrome
FERMT3,"Leukocyte adhesion deficiency, type III"
FEZF1,Hypogonadotropic hypogonadism 7 with or without anosmia
FEZF1,Hypogonadotropic hypogonadism 22 with or without anosmia
FFAR4,Body mass index quantitative trait locus 10
